@RELATION train

@ATTRIBUTE lines REAL
@ATTRIBUTE words REAL
@ATTRIBUTE tags REAL
@ATTRIBUTE div REAL
@ATTRIBUTE h1 REAL
@ATTRIBUTE h2 REAL
@ATTRIBUTE h3 REAL
@ATTRIBUTE img REAL
@ATTRIBUTE table REAL
@ATTRIBUTE p REAL
@ATTRIBUTE a REAL
@ATTRIBUTE iframe REAL
@ATTRIBUTE keyword {0,1}
@ATTRIBUTE url_change {0,1}
@ATTRIBUTE anti-adblock {TRUE,FALSE}

@DATA
9,260,39,7,0,0,0,3,0,1,2,10,0,0,FALSE
13,84,6,11,0,0,0,9,0,0,6,-3,1,0,FALSE
5,20,87,22,0,0,0,0,0,0,0,23,0,0,FALSE
159,1268,558,116,-1,18,-1,19,0,17,135,6,1,0,TRUE
-8,414,31,8,0,0,0,2,0,-2,-3,15,1,0,TRUE
5,245,25,13,0,0,0,0,0,0,0,5,1,0,FALSE
0,0,11,0,0,0,0,0,0,0,0,2,0,0,FALSE
4,9,28,13,0,0,0,0,0,0,1,5,1,0,FALSE
6,-6,25,4,0,0,0,0,0,0,0,2,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
-3,-7,10,0,0,0,0,1,0,-1,0,6,1,0,TRUE
11,51,44,6,0,0,0,1,0,0,0,7,1,0,FALSE
-1,-10,10,-6,0,0,0,-1,0,0,0,3,1,0,TRUE
0,0,8,0,0,0,0,0,0,0,0,1,0,0,FALSE
0,0,-2,-2,0,0,0,0,0,0,0,0,1,0,TRUE
0,0,1,1,0,0,0,0,0,0,0,0,1,0,FALSE
0,0,1,1,0,0,0,0,0,0,0,0,1,0,FALSE
2,91,5,0,0,0,0,0,0,0,0,1,1,0,FALSE
0,0,2,0,0,0,0,0,0,0,0,1,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,1,6,0,0,0,0,0,0,0,0,2,1,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
14,1143,118,78,0,0,0,7,0,0,25,0,0,0,FALSE
14,1143,118,78,0,0,0,7,0,0,25,0,0,0,FALSE
5,1216,56,42,0,0,0,4,0,0,7,1,0,0,FALSE
3,7,13,3,0,0,0,0,0,0,1,2,0,0,FALSE
5,207,18,3,0,1,0,1,0,0,1,3,0,0,FALSE
-4,-43,-16,1,0,0,0,-1,-1,0,-1,0,1,0,FALSE
-6,-408,-10,-8,0,0,0,1,0,0,-1,1,1,0,TRUE
-10,-281,17,5,0,0,0,9,-2,0,-1,10,0,0,TRUE
0,0,23,8,0,0,0,6,0,0,0,6,0,0,FALSE
0,0,19,0,0,0,0,0,0,0,0,4,0,0,FALSE
-66,-266,-410,-42,-36,0,0,-26,0,0,-42,1,1,0,FALSE
1860,7895,5213,1443,1,39,118,255,16,174,852,34,1,0,TRUE
4,2,-1,0,0,0,0,0,0,0,2,0,1,0,FALSE
0,-14,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
66,362,221,27,0,1,-1,0,6,-2,58,0,1,0,TRUE
106,663,335,38,0,1,-1,1,4,8,66,4,1,0,TRUE
-1,-5,1,-5,0,0,0,0,0,0,0,1,0,0,TRUE
30,253,106,14,0,0,0,3,0,0,2,5,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
-3,-33,14,-1,-1,0,0,0,0,-4,-2,7,1,0,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
31,212,204,33,0,11,3,20,0,14,59,3,1,0,TRUE
0,0,24,3,0,0,0,18,0,0,0,2,1,0,FALSE
-5,-10,-9,-4,0,0,-1,0,0,0,0,0,1,0,TRUE
-42,-4914,-141,-50,0,0,0,2,0,0,-30,17,1,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
29,290,88,16,0,0,7,7,0,8,21,3,1,0,TRUE
29,290,88,16,0,0,7,7,0,8,21,3,1,1,TRUE
-7,-79,4,-1,-1,0,0,1,0,-4,-1,2,1,0,TRUE
12,205,98,16,0,0,0,15,0,0,1,13,1,0,TRUE
1,1,35,3,0,0,0,0,0,0,0,4,0,0,FALSE
-4,-24,-14,-23,0,0,0,-1,0,-1,-2,-7,0,0,TRUE
331,2106,1297,455,20,11,13,59,0,63,104,0,0,1,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
0,0,12,0,0,0,0,1,0,0,0,2,0,0,FALSE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE
22,62,126,37,2,1,0,8,0,1,7,5,1,0,FALSE
-12,-756,-18,-12,0,0,0,-1,0,-2,1,1,1,0,TRUE
418,12913,1335,411,2,0,34,70,0,0,417,3,1,0,FALSE
0,0,28,4,0,0,0,3,0,0,0,4,1,0,FALSE
