site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock,
bit.ly/2zhm6na,3,24,58,9,0,0,0,2,0,0,0,12,0,0,FALSE,
bitvid.sx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
bizarrepedia.com,19,1723,94,63,0,0,1,6,0,0,12,0,0,0,FALSE,
blacksonstars.com,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,FALSE,
blockadblock.com,0,1,0,0,0,0,0,0,0,0,0,0,1,0,FALSE,
blog.techygeekshome.info,0,0,31,0,0,0,0,0,0,0,0,9,0,0,FALSE,
boysfood.com,4,6,-2,-1,0,0,0,-5,0,1,-5,4,0,0,FALSE,
burning-feed.com,-4,-22,-13,-9,-1,0,0,-1,0,-1,-2,2,0,0,FALSE,
business.dk,-1,-3,5,-3,0,0,0,2,0,0,1,5,1,0,FALSE,
business.dk,-1,-3,19,-2,0,0,0,2,0,0,1,6,1,0,FALSE,
businessinsider.com,3,74,4,0,0,0,0,0,0,0,0,1,1,0,FALSE,
canadianinsider.com,0,0,18,0,0,0,0,0,0,0,0,5,1,0,FALSE,
caradisiac.com,0,0,6,2,0,0,0,2,0,0,0,2,0,0,FALSE,
cartoonhd.in,0,8,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,
cbs.com,9,260,39,7,0,0,0,3,0,1,2,10,0,0,FALSE,
chip.de,13,84,6,11,0,0,0,9,0,0,6,-3,1,0,FALSE,
cincodias.com,5,20,87,22,0,0,0,0,0,0,0,23,0,0,FALSE,
cmacapps.com,159,1268,558,116,-1,18,-1,19,0,17,135,6,1,0,TRUE,
cnbc.com,-8,414,31,8,0,0,0,2,0,-2,-3,15,1,0,TRUE,
cnn.com,5,245,25,13,0,0,0,0,0,0,0,5,1,0,FALSE,
cnprint.org,0,0,11,0,0,0,0,0,0,0,0,2,0,0,FALSE,
codexpcgames.com,4,9,28,13,0,0,0,0,0,0,1,5,1,0,FALSE,
