site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock
9gag.com,-10,-86,-29,-15,0,0,-10,-12,0,0,-12,9,0,0,?
targobank.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
koenigsbart.de,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,?
china-insider.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
webssearches.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
goethe-university-frankfurt.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
hoppel785skreationen.blogspot.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
cptrack.de,22,165,17,12,0,0,0,0,0,0,-1,0,0,0,?
petra-rombach.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
blogger.com,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,?
abelssoft.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
lidl.de,2,3,3,0,0,0,0,0,0,0,0,0,0,0,?
heilpraxisnet.de,1,1,38,1,0,0,0,3,0,0,0,10,0,0,?
siemens.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
wera.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
myfeelix.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
glamour.de,-9,-146,-11,-6,0,0,0,-1,0,-5,-2,3,1,0,?
sequencer.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
notebooksbilliger.de,-979,-4856,-2686,-923,0,0,0,-103,7,-1,-365,-8,1,1,?
tripadvisor.de,-19,136,-156,-104,0,0,0,-17,0,0,-16,0,0,0,?
geschaeftsberichte.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
techstorm.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
superparanoid.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
linkstrasse.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
planet-wissen.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
nagura.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
mein-mmo.de,26,813,96,15,0,0,0,9,0,0,0,5,1,0,?
leegt-games.blogspot.de,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
regesta-imperii.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
saturn.de,-12,-12,-6,2,0,0,0,0,0,0,-3,4,1,0,?
immowelt.de,1,43,-1,0,0,0,0,0,0,0,0,2,0,0,?
soziale-banken.de,0,0,14,0,0,0,0,0,0,0,0,3,0,0,?
vimeo.com,0,-6,4,1,0,0,0,0,0,0,0,1,0,0,?
audible.de,0,0,5,0,0,0,0,3,0,0,0,2,0,0,?
telekom.de,0,0,5,0,0,0,0,1,0,0,0,0,0,0,?
cologne.de,0,0,15,1,0,0,0,2,0,0,1,2,0,0,?
meine-aktuelle-ip.de,0,16,0,0,0,0,0,0,0,0,0,0,0,0,?
transfermarkt.de,3,102,15,-5,0,0,0,-3,0,0,0,3,1,0,?
brigitte.de,2,143,153,64,0,0,0,22,0,0,5,29,1,0,?
sparkasse.de,2,14,1,0,0,0,0,0,0,0,0,0,0,0,?
transformstorys.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
wer-kennt-wen.de,3,61,41,5,0,0,0,0,0,0,0,11,0,0,?
compboard.de,0,0,8,0,0,0,0,0,0,0,0,1,0,0,?
schalke04.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
riseofthetombraidermap.de,24,168,19,12,0,0,0,0,0,0,0,0,0,0,?
sd2snes.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
focuusing.com,22,168,17,12,0,0,0,0,0,0,-1,0,0,0,?
live.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
dedon.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
rossmann.de,0,0,1,0,0,0,0,0,0,0,0,0,0,0,?
prad.de,-8,-39,-17,-8,0,0,0,-4,0,0,0,2,0,0,?
epson.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
wellmagie.de,0,0,7,0,0,0,0,0,0,0,0,2,0,0,?
netzwelt.de,0,112,17,-1,0,0,0,1,0,0,0,6,0,0,?
imgur.com,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
cheatbook.de,0,0,15,0,0,0,0,0,0,0,0,4,0,0,?
pcwelt.de,9,483,70,8,0,1,0,0,0,1,-2,10,1,0,?
wethepeoplebmx.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
tsyndicate.com,22,168,17,12,0,0,0,0,0,0,-1,0,0,0,?
sky.de,0,0,1,0,0,0,0,0,0,0,0,1,1,0,?
t-online.de,-7,-64,-13,-8,0,0,0,-5,0,0,-4,5,0,0,?
florida-interaktiv.de,0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
hotelscombined.de,0,0,1,1,0,0,0,0,0,0,0,0,0,0,?
arne-mertz.de,0,0,2,0,0,0,0,0,0,0,0,1,0,0,?
ask.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
thomann.de,0,0,1,0,0,0,0,1,0,0,0,0,0,0,?
whudat.de,9,581,56,8,0,0,0,0,0,0,0,6,0,0,?
houzz.de,0,3,1,0,0,0,0,0,0,0,0,1,1,0,?
gtai.de,0,0,1,0,0,0,0,0,0,0,0,0,0,0,?
xing.com,0,1,1,0,0,0,0,0,0,0,0,0,0,0,?
groupon.de,-3,2,-4,-1,0,0,0,0,0,0,0,0,0,0,?
avg.com,4,20,9,5,0,0,0,0,0,1,2,0,0,0,?
technikaffe.de,0,0,6,0,0,0,0,0,0,0,0,2,0,0,?
hornbach.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
adobe.com,4,49,21,12,0,0,0,0,0,2,2,0,0,0,?
tvnow.de,4,77,39,5,0,0,0,0,0,0,0,10,0,0,?
wedi.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
techart.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
ipmsdeutschland.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
android-hilfe.de,3,122,13,1,0,0,0,0,0,0,0,2,0,0,?
vip.de,6,481,80,29,0,0,1,2,0,0,2,19,0,0,?
merkur.de,7,62,59,22,0,0,1,2,2,1,1,8,0,0,?
prodvis.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
wetter.de,26,722,135,54,0,0,0,9,0,0,18,19,1,0,?
hs-augsburg.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
leo.org,0,0,2,0,0,0,0,0,0,0,0,1,1,0,?
lovingnewyork.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
markt.de,0,14,32,11,0,0,0,1,0,0,0,12,0,0,?
bonprix.de,-10,-12,-32,-16,-1,0,0,-1,0,0,-2,0,0,0,?
tu-freiberg.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
trovigo.com,7,26,20,3,0,0,0,2,0,0,0,2,0,0,?
sap-ag.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
haz.de,0,25,8,0,0,0,0,1,0,0,0,3,0,0,?
bisenius.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
stern.de,4,225,130,50,0,0,4,11,0,1,5,28,0,0,?
mobilegriffe.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
hsozkult.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
dlc.lib.de.us,22,159,17,12,0,0,0,0,0,0,-1,0,0,0,?
arcor.de,23,714,124,38,0,0,0,19,0,0,7,13,1,0,?
express.de,-3,-10,13,-5,0,0,0,-2,2,0,0,8,0,0,?
your-server.de,25,173,19,12,0,0,0,0,0,0,0,0,0,0,?
holidaycheck.de,1,24,26,2,0,0,0,0,0,0,0,4,0,0,?
nordbayern.de,1,13,19,1,0,0,0,4,0,0,0,2,0,0,?
cheatinfo.de,0,0,11,0,0,0,0,0,0,0,0,2,0,0,?
meinschiff.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
photozone.de,0,0,15,0,0,0,0,0,0,0,0,4,0,0,?
maenner-legenden.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
haw-hamburg.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
ksta.de,-3,-46,20,2,0,0,0,-3,2,0,0,9,0,0,?
eleggs.de,0,0,8,0,0,0,0,0,0,0,0,1,1,0,?
entwickler.de,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,?
tuhh.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
sims4marigold.blogspot.de,1490,5608,4231,788,0,28,3,77,1,5,1066,14,1,0,?
bz-berlin.de,3,74,8,0,0,0,0,0,0,0,0,2,0,0,?
esprit.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
tutorials.de,2,52,21,2,0,0,0,0,0,0,0,6,0,0,?
gesundheit.de,6,164,21,7,0,0,0,-1,0,0,0,3,0,0,?
teamexpert.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
arbeitsagentur.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
soundcloud.com,3,14,5,2,0,0,0,0,0,0,2,0,0,0,?
nblast.de,22,165,17,12,0,0,0,0,0,0,-1,0,0,0,?
immonet.de,0,0,-1,0,0,0,0,0,0,0,0,2,0,0,?
eshop-solutions.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
bundesregierung.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
netdoktor.de,27,3932,77,23,0,0,0,0,0,0,0,7,0,0,?
hofbraeuhaus.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
bmas.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
saveoursole.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
myhomelesssims.blogspot.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
giga.de,1,3,58,14,0,0,0,1,0,0,0,19,0,0,?
cagematch.de,-1,19,-1,0,0,0,0,0,0,0,0,0,0,0,?
deref-web-02.de,25,173,19,12,0,0,0,0,0,0,0,0,0,0,?
hagen-birkenwerder.de,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,?
