lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,Anti-Adblock
0,55,29,9,0,0,0,0,0,0,0,10,1,1,?
1,1,7,0,0,0,0,0,0,0,0,0,1,0,?
0,0,11,-1,0,0,0,0,0,0,0,0,0,0,?
6,19,25,9,0,0,0,0,0,-1,1,9,1,0,?
3,44,3,1,0,0,0,0,0,0,0,0,0,0,?
4,4,2,2,0,0,0,0,0,0,0,0,1,0,?
2,13,3,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
1,-12,1,0,0,0,0,0,0,0,0,3,0,0,?
1,14,63,31,0,0,0,0,0,0,0,9,0,0,?
11,22,41,20,0,0,1,2,0,9,3,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
14,100,137,74,0,0,0,1,0,0,4,17,0,0,?
0,69,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,1,1,0,?
0,0,-2,0,0,0,0,0,0,0,0,1,0,0,?
0,0,-15,-6,0,0,0,0,0,0,0,-6,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,2,0,1,0,0,0,0,0,0,0,2,0,0,?
15,513,96,20,0,0,0,1,0,0,6,4,1,0,?
0,0,6,0,0,0,0,0,0,0,0,3,1,0,?
-9,-76,-3,1,0,0,0,0,0,0,0,1,0,0,?
0,0,1,0,0,0,0,0,0,0,0,1,0,0,?
3,16,7,1,0,0,0,6,0,0,0,1,1,0,?
0,-2,4,3,0,0,0,0,0,0,0,2,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,1,0,0,0,0,0,0,0,0,1,0,0,?
0,0,2,0,0,0,0,0,0,0,0,1,1,0,?
15,19,53,30,0,0,0,0,0,0,0,2,1,0,?
0,1,2,1,0,0,0,0,0,0,1,1,0,0,?
0,-4,16,0,0,0,0,0,0,0,0,4,0,0,?
0,0,-1,0,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-3,-12,40,16,0,0,0,13,0,0,0,4,1,0,?
0,0,4,0,0,0,0,1,0,0,0,2,0,0,?
0,0,18,0,0,0,0,0,0,0,0,7,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
1,1,7,0,0,0,0,0,0,0,0,0,1,0,?
-7,-19,-34,-18,0,0,-1,-2,0,-7,-3,0,0,0,?
