@relation 'features_de_1_store-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15'

@attribute lines REAL
@attribute words REAL
@attribute tags REAL
@attribute div REAL
@attribute h1 REAL
@attribute h2 REAL
@attribute h3 REAL
@attribute img REAL
@attribute table REAL
@attribute p REAL
@attribute a REAL
@attribute iframe REAL
@attribute keyword {0,1}
@attribute url_change {0,1}
@attribute Anti-Adblock {TRUE,FALSE}

@data
-2,1011,50,64,0,0,-1,-1,0,0,-5,2,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,7,5,0,0,0,0,0,0,0,3,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,2,0,0,0,0,0,0,0,0,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-24,236,-101,-21,-2,0,-5,-7,0,-4,-40,0,0,0,?
0,0,-13,-9,0,0,0,-4,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-1,-7,3,1,0,0,0,0,0,0,0,2,0,0,?
0,4,-5,-1,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
14,424,48,40,0,0,0,0,0,0,6,1,1,0,?
1,15,3,0,0,0,0,0,0,1,0,3,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,1,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
0,0,35,10,0,0,0,0,0,0,0,12,0,0,?
-2,3,5,-2,0,0,0,0,0,0,0,0,0,0,?
0,-3,0,0,0,0,0,0,0,0,0,0,0,0,?
3,16,11,0,0,0,0,0,0,0,0,1,0,0,?
49,1863,184,41,0,0,0,23,0,0,43,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
6,1240,45,30,0,0,0,3,0,0,12,0,1,0,?
0,0,-1,0,0,0,0,0,0,0,0,2,0,0,?
-38,-91,-84,-33,0,0,0,-1,0,-6,-6,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
53,236,93,19,0,0,0,0,0,0,0,4,0,0,?
-7,-35,-22,-6,0,0,0,-2,0,0,-3,1,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,?
-1,-6,-2,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
-3,-15,-3,-6,0,0,0,-3,0,0,0,3,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,7,0,0,0,0,3,0,0,3,1,0,0,?
3,-9,4,0,0,0,0,0,0,-1,0,0,0,0,?
12,12,22,2,0,0,0,0,0,0,3,3,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
4,40,27,2,0,0,0,3,0,0,4,0,0,0,?
-9,-137,-26,-9,0,0,0,-10,0,0,-2,4,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,-199,-2,-1,0,0,0,0,0,0,0,0,1,0,?
10,68,36,18,0,0,0,-2,0,0,0,8,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
26,-56,10,10,0,0,0,-1,0,0,0,0,0,0,?
-4,-6,-4,0,0,0,0,0,0,0,0,0,1,0,?
0,0,5,1,0,0,0,1,0,0,0,3,0,0,?
1,338,-27,0,0,0,0,1,0,0,1,1,0,0,?
42,363,108,22,0,0,0,6,0,0,12,7,0,0,?
2,-225,10,-2,0,0,0,-5,0,0,1,6,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
-1,13,33,11,0,0,0,1,0,0,0,9,0,0,?
-1,7,5,-3,0,0,0,0,0,0,3,-2,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
30,1268,125,80,0,0,0,2,0,0,10,2,1,0,?
0,0,0,0,0,0,0,0,0,0,0,1,0,0,?
6,35,9,0,0,0,0,0,0,0,2,1,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
31,1156,139,4,0,0,0,5,2,0,22,2,1,0,?
5,110,35,5,0,0,0,0,0,0,0,10,0,0,?
5,341,38,22,0,0,0,2,0,0,3,7,1,0,?
3,19,-10,2,0,0,0,2,0,0,0,-3,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
1,-12,3,0,0,0,0,0,0,0,-1,0,0,0,?
0,-5,-1,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,?
