site,lines,words,tags,div,h1,h2,h3,img,table,p,a,iframe,keyword,url_change,cosine_similarity,Anti-Adblock
Aldi-sued.de,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Justiz.gv.at,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dailymail.co.uk,-9,-96,-2,6,0,0,0,-3,0,0,-3,7,1,0
Bernerzeitung.ch,3,58,5,1,0,0,0,0,0,0,1,1,1,0
Obi.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zeit.de,37,4316,99,25,0,0,0,0,0,0,0,8,0,0
Thalia.at,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Handelsblatt.com,726,-1471,2496,751,-1,14,64,113,0,38,384,10,1,1
Bing.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cern.ch,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
Kinokrad.co,11,1106,54,27,0,0,0,4,0,0,13,2,1,0
Indeed.ch,-2,-3825,0,0,0,0,0,0,0,0,0,0,0,0
Mail.ru,1,1160,4,-8,0,0,0,1,0,0,0,2,0,0
Pornhd.com,0,0,7,4,0,0,0,0,0,0,0,0,1,0
Germany.ru,0,0,2,0,0,0,0,0,0,0,0,2,0,0
Porn555.com,-1,-5,-1,0,0,0,0,0,0,0,0,0,1,0
Mygully.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woxikon.de,0,0,25,0,0,0,0,0,0,0,0,3,0,0
Tsn.at,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fifa.com,0,0,-2,0,0,0,0,0,0,0,0,1,0,0
Dailymotion.com,0,0,-3,0,0,0,0,0,0,0,0,1,1,0
Sparkasse.at,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real.de,-38,-581,-26,-12,0,0,0,-1,0,-1,0,0,0,0
Ensonhaber.com,23,279,127,67,0,0,0,19,0,0,15,1,0,0
Austrian.com,-519,-2335,-1507,-335,-1,-7,-13,-8,4,-24,-249,1,0,1
Myhermes.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oe24.at,-16,-329,-52,-33,0,0,0,0,0,0,0,5,0,0
Meinbezirk.at,-10,-40,11,10,0,0,0,0,0,0,0,11,0,0
Deloton.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exoclick.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bluewin.ch,38,1647,208,23,0,0,0,44,0,0,10,8,0,0
Luzernerzeitung.ch,29,703,162,25,0,4,0,22,0,8,22,8,0,0
Dasoertliche.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Booking.com,25,222,31,-14,0,0,0,0,0,0,0,0,0,0
Thestartmagazine.com,4,17,22,18,0,0,0,0,0,0,0,0,0,0
Epochtimes.de,-3,52,18,7,0,0,0,2,0,0,0,9,0,0
Bayern.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24heures.ch,0,0,-3,0,0,0,0,0,0,0,0,1,1,0
Kooora.com,1,1,12,7,0,0,0,0,0,0,0,3,0,0
Sport1.de,-2,-4,-2,0,0,0,0,0,0,0,0,0,1,0
Airbnb.de,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Mailchimp.com,-1,-8,-1,0,0,0,0,0,0,0,0,0,0,0
4tube.com,-5,-101,-14,-5,0,0,0,-4,0,0,0,0,0,0
Index.hu,-11,-46,-4,3,0,0,0,1,0,0,2,0,1,0
Freenet.de,2,146,87,51,0,0,0,17,0,0,14,7,0,0
Jobs.ch,-6,-23,-6,-3,0,0,0,0,0,0,-2,0,1,0
W3schools.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eventim.de,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Sportalhd.com,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Stackoverflow.com,-4,5,-2,1,0,0,0,0,0,0,0,2,0,0
Mediamarkt.at,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Swissinfo.ch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Startpage.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmaa.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wikipedia.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Br.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ams.or.at,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aparat.com,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Webuntis.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deutsche-bank.de,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mjam.net,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Deepl.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Songtexte.com,63,3037,224,88,0,0,0,45,0,4,24,2,0,0
Zhaw.ch,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Repubblica.it,0,-224,4,-5,0,0,0,0,0,0,0,-1,0,0
Russia.tv,17,1927,88,6,0,0,0,0,2,0,6,4,0,0
Bwin.com,0,0,6,0,0,0,0,0,0,0,0,6,0,0
Yaplakal.com,32,136,216,62,0,0,0,34,10,0,3,9,0,0
Mobile.de,2,103,6,-4,0,0,-1,0,0,0,0,3,0,0
Teletext.ch,5,70,122,6,0,0,0,43,0,0,2,7,0,0
Gazetaexpress.com,2,1026,10,2,0,0,0,0,0,0,0,0,0,0
Ddl-warez.to,1,4,3,3,0,0,0,0,0,0,0,0,0,0
Airbnb.at,0,-11,8,0,0,0,0,0,0,0,0,0,0,0
